title,subs,create date,is answered
'Стоит ли использовать selenium webdriver в связке с PHP для автоматизации тестирования?',1,2017-01-16 23:56:38,False
'Python+Selenium+PhantomJS. Как реализовать ожидание страницы?',2,2017-01-17 22:21:44,True
'Selenium+Python. Не находит элемент и выходит из скрипта. В чем причина?',1,2017-01-19 21:57:55,False
'Python testing tool с хорошим web UI?',16,2016-01-10 18:25:38,False
"'Как проверить рабочий ли прокси ч/з который хочу слать запросы, python?'",3,2015-07-24 21:47:27,True
"'Как проверить рабочий ли прокси ч/з который хочу слать запросы, python?'",4,2015-07-24 22:20:45,False
'Firefox selenium webdriver: Не загружается до конца страница',2,2013-09-04 19:04:49,False
'Как использовать socks proxy в Selenium WebDriver?',2,2016-01-20 20:27:58,False
'Можно ли использовать Selenium + python без браузера?',1,2016-06-08 15:48:15,False
'Как передать в строку «Поиск» Instagram значение с помощью Selenium (Python)?',1,2016-09-30 16:54:50,True
"'Не работает send_keys при использывания PhantomJs, что делаю не так?'",2,2016-04-21 14:11:14,True
'Многопроцессорный парсер теряет ссылки при паринге (selenium+PhantomJS+ProcessPoolExecutor)?',5,2016-08-18 09:15:47,False
'Не могу понять что хочет от меня selenium?',1,2017-02-08 15:39:57,False
'Ошибка при установке Selenium «Specified platform toolset (v110) » \?',1,2015-04-06 14:32:39,False
"'В Selenium не работают клики, чяднт?'",2,2016-02-12 00:33:36,False
'Как импортировать fixture в тест?',1,2016-04-10 20:05:13,False
'Почему не переходит на страницу после submit()?',1,2017-02-21 06:10:51,False
'Как зажать клавишу в Selenium WebDriver Python 3?',2,2015-12-26 23:22:31,True
'Как уйти с распутья технологий?',102,2016-05-03 15:55:37,False
'Каким образом приложение на С# для автотестов (Selenium) развернуть в интернете?',2,2017-01-26 13:36:08,False
'Какой самый быстрый способ парсинга(web scraping) сайтов?',8,2017-02-21 12:11:28,False
